platform,contest_name,start_date,duration_min
LeetCode,Weekly Contest 250,2021-07-18 08:00:00,90.0
LeetCode,Weekly Contest 249,2021-07-11 08:00:00,90.0
LeetCode,Biweekly Contest 56,2021-07-10 20:00:00,90.0
LeetCode,Weekly Contest 248,2021-07-04 08:00:00,90.0
LeetCode,Weekly Contest 247,2021-06-27 08:00:00,90.0
LeetCode,Biweekly Contest 55,2021-06-26 20:00:00,90.0
LeetCode,Weekly Contest 246,2021-06-20 08:00:00,90.0
LeetCode,Weekly Contest 245,2021-06-13 08:00:00,90.0
LeetCode,Biweekly Contest 54,2021-06-12 20:00:00,90.0
LeetCode,Weekly Contest 244,2021-06-06 08:00:00,90.0
LeetCode,Weekly Contest 243,2021-05-30 08:00:00,90.0
LeetCode,Biweekly Contest 53,2021-05-29 20:00:00,90.0
LeetCode,Weekly Contest 242,2021-05-23 08:00:00,90.0
LeetCode,Weekly Contest 241,2021-05-16 08:00:00,90.0
LeetCode,Biweekly Contest 52,2021-05-15 20:00:00,90.0
LeetCode,Weekly Contest 240,2021-05-09 08:00:00,90.0
LeetCode,Weekly Contest 239,2021-05-02 08:00:00,90.0
LeetCode,Biweekly Contest 51,2021-05-01 20:00:00,90.0
LeetCode,Weekly Contest 238,2021-04-25 08:00:00,90.0
LeetCode,Weekly Contest 237,2021-04-18 08:00:00,90.0
LeetCode,Biweekly Contest 50,2021-04-17 20:00:00,90.0
LeetCode,Weekly Contest 236,2021-04-11 08:00:00,90.0
LeetCode,Weekly Contest 235,2021-04-04 08:00:00,90.0
LeetCode,Biweekly Contest 49,2021-04-03 20:00:00,90.0
LeetCode,Weekly Contest 234,2021-03-28 08:00:00,90.0
LeetCode,Weekly Contest 233,2021-03-21 08:00:00,90.0
LeetCode,Biweekly Contest 48,2021-03-20 20:00:00,90.0
LeetCode,Weekly Contest 232,2021-03-14 08:00:00,90.0
LeetCode,Weekly Contest 231,2021-03-07 08:00:00,90.0
LeetCode,Biweekly Contest 47,2021-03-06 20:00:00,90.0
LeetCode,Weekly Contest 230,2021-02-28 08:00:00,90.0
LeetCode,Weekly Contest 229,2021-02-21 08:00:00,90.0
LeetCode,Biweekly Contest 46,2021-02-20 20:00:00,90.0
